,User_Id,Electronics_Frequency_Frequency,F&B_Frequency_Frequency,Fashion_Frequency_Frequency,Grocery_Frequency_Frequency,Health & Beauty_Frequency_Frequency,Other_Frequency_Frequency,Transportaion_Frequency_Frequency,Electronics_Montery_Montery,F&B_Montery_Montery,Fashion_Montery_Montery,Grocery_Montery_Montery,Health & Beauty_Montery_Montery,Other_Montery_Montery,Transportaion_Montery_Montery,Electronics_Recency_Recency,F&B_Recency_Recency,Fashion_Recency_Recency,Grocery_Recency_Recency,Health & Beauty_Recency_Recency,Other_Recency_Recency,Transportaion_Recency_Recency,Cluster
0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,442.7,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,1
1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1
2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,1
3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,1
4,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,1
5,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,153.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1
6,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,1
7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,238.8,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,1
8,8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,1
9,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,1
10,10,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,398.0,771.7,0.0,0.0,0.0,0.0,0.0,7.14,100.0,0.0,0.0,0.0,1
